,JNAME,P0,DECJ,Flux,W50
154,J0621+0336,0.2699540683678,+03:36:45.52,2.491958640014881,3.44
155,J0621+1002,0.0288538611940574,+10:02:38.7352,4.734721416028274,0.69
156,J0621+2514,0.0027217879391872,+25:14:03.83,NaN,NaN
157,J0621-55,NaN,-56:05,NaN,NaN
158,J0623+0340,0.613759600022,+03:40:06.8,0.672828832804018,18.78
159,J0624-0424,1.0390764758509907,-04:24:50.4535,3.4887420960208333,5.2
160,J0625+10,0.498397,+10:16,0.21430844304127974,NaN
161,J0627+0649,0.346522567131,+06:49:54.13,4.709801829628125,6.33
162,J0627+0706,0.4758849303505593,+07:06:32.8,5.8,
163,J0627+16,2.18,16:12,NaN,0.3
164,J0628+0909,1.241421391299,+09:09:13.9,0.1445336011208631,8.0
165,J0629+2415,0.47662283603808464,+24:15:41.546,7.974267648047619,8.8
166,J0630-0046,0.680574832268,-00:46:05.85,1.021703042406101,5.71
167,J0630+19,1.24855,+19:37,NaN,35.0
168,J0630-2834,1.2444185961512455,-28:34:42.77881,90.0,19.3
169,J0631+0646,0.11097894321598467,+06:46:14.2,NaN,NaN
170,J0631+1036,0.28780002195857757,+10:37:02.5,2.242762776013393,6.5
171,J0633+0632,0.2973951905763917,+06:32:34.9,NaN,NaN
172,J0633+1746,0.2370994416922568,+17:46:12.909,NaN,NaN
173,J0633-2015,3.2532108384,-20:15:07.1,0.4983917280029762,60.0
174,J0635+0533,0.03385649518239002,+05:33:11,NaN,NaN
175,J0636-3044,0.00394576,-30:50:42,NaN,NaN
176,J0636-4549,1.98459736713,-45:49:32.62,0.2491958640014881,15.4
177,J0641+07,NaN,+07:44,NaN,NaN
178,J0646+0905,0.9039132,+09:05:49.3,5.9,11.8
179,J0647+0913,1.23485362778,+09:13:59.5,0.44855255520267856,11.62
180,J0652-0142,0.924053918109,-01:42:30.3,1.021703042406101,23.89
181,J0656-2228,1.22475441462,-22:28:25.55,7.475875920044643,13.3
182,J0656-5449,0.183156898795,-54:49:14.92,0.9967834560059524,6.1
183,J0658+0022,0.563294925255,+00:22:35.3,0.3239546232019345,12.67
184,J0659+1414,0.3849286233650379,+14:14:19.4,8.0,15.5
185,J0702-4956,0.6659935900128262,-49:56:34.2,NaN,NaN
186,J0709+0458,0.034428978177458644,+04:58:51.4941,NaN,NaN
187,J0709-5923,0.485268383925,-59:23:55.60,0.7475875920044642,2.8
188,J0711+0931,1.21409049248,+09:31:25,0.09967834560059524,NaN
189,J0711-6830,0.0054909685061923135,-68:30:47.41446,9.22024696805506,1.092
190,J0719-2545,0.974724730631,-25:45:00.23,1.9935669120119048,12.5
191,J0720-3125,8.391115532,-31:25:50.083,NaN,NaN
192,J0721-2038,0.015542394974,-20:38:07.061,0.523311314403125,0.64
193,J0725-1635,0.42431140318340005,-16:35:45.8204,0.8223463512049107,4.1
194,J0726-2612,3.4423084877,-26:12:38.1,0.4983917280029762,13.4
195,J0729-1448,0.251658714180918,-14:48:36.8,2.0683256712123512,8.4
196,J0729-1836,0.5101603448262563,-18:36:42.244,5.6,13.4
197,J0732+2314,0.004090137082359298,+23:14:54.21,NaN,NaN
198,J0733-2345,1.7962497011679064,-23:45:56.2,0.1744371048010417,19.0
199,J0734-1559,0.15625,-15:59,NaN,NaN
200,J0736-6304,4.8628739612,-63:04:16,NaN,30.0
201,J0737-2202,0.320366370454313,-22:02:05.32,1.171220560806994,6.3
202,J0737-3039A,0.022699378599623916,-30:39:40.71431,8.0,
203,J0737-3039B,2.773460770066061,-30:39:40.71431,3.2395462320193453,58.0
204,J0738-4042,0.37492073594421266,-40:42:39.42,210.0,26.1
205,J0742-2822,0.16676229157216363,-28:22:43.76,86.0,9.2
206,J0745-5353,0.2148363514,-53:51:22,12.459793200074404,10.7
207,J0746-4529,2.79102517845,-45:29:26.65,0.4983917280029762,19.4
208,J0749-4247,1.09545215761,-42:47:42.14,1.2459793200074405,14.0
209,J0749-68,0.915171299,-68:44:27,10.217030424061011,NaN
210,J0751+1807,0.00347877083927942,+18:07:38.4864,7.974267648047619,0.7
211,J0753-0816,2.09362,-08:19:35,NaN,NaN
212,J0754+3231,1.442349479142921,32:31:56.2,1.4951751840089285,12.2
213,J0758-1528,0.6822651758059591,-15:28:08.738,4.1,4.6
214,J0802-09,0.571256,-09:55,NaN,NaN
215,J0803+34,NaN,+34:19,NaN,NaN
