,JNAME,P0,DECJ,Flux,W50
211,J1622-4332,0.91693752262,-43:32:28.2,1.3207380792078869,32.0
212,J1622-4950,4.327020260966019,-49:50:54.4,11.961401472071428,NaN
213,J1623-0908,1.276445819515507,-09:08:48.733,1.4951751840089285,14.7
214,J1623-2631,0.011075750914202482,-26:31:53.769,3.9871338240238097,0.57
215,J1623-4256,0.3645903553,-42:56:52,6.728288328040179,9.6
216,J1625-4048,2.3552781933,-40:48:21.5,NaN,96.0
217,J1626-4537,0.370141128114,-45:37:25.6,2.990350368017857,10.1
218,J1632-4621,1.7091544952795863,-46:21:48.6,1.9935669120119048,11.9
219,J1633-4453,0.436506697158,-44:53:07.8,6.479092464038691,7.6
220,J1633-5015,0.35214540393696525,-50:15:08.40,28.0,14.8
221,J1635-5954,0.52912125685,-59:54:41,4.485525552026786,23.2
222,J1639-4359,0.58755897769,-43:59:52,2.2926019488136906,24.0
223,J1639-4604,0.264557925602,-46:04:33.1,2.491958640014881,18.7
224,J1643-1224,0.00462164152493627,-12:24:58.6831,11.662366435269643,0.314
225,J1644-4559,0.45507820167172386,-45:59:09.71,1040.0,20.0
226,J1646-6831,1.7856112396,-68:31:51,12.210597336072917,74.9
227,J1649-3805,0.262025692969456,-38:05:59.1,3.9871338240238097,8.0
228,J1650-1654,1.7495517460975152,-16:54:42.282,2.7411545040163694,44.2
229,J1651-1709,0.9733936918720266,-17:09:22.1135,0.7475875920044642,27.4
230,J1651-4246,0.8440806319729401,-42:46:09.4,68.0,25.1
231,J1651-5222,0.6350581748927667,-52:22:58.6,9.9,9.0
232,J1651-5255,0.8905339578,-52:55:48,8.223463512049106,20.8
233,J1652-2404,1.7037391378577924,-24:03:50.8751,3.9871338240238097,29.8
234,J1700-3312,1.3583070105262602,-33:12:46.5057,4.8,9.6
235,J1701-3726,2.454618042784687,-37:26:25,11.0,8.7
236,J1703-1846,0.8043410792711806,-18:46:14.845,5.0,6.1
237,J1703-3241,1.2117850946469777,-32:41:48.0373,21.0,12.3
238,J1703-4851,1.3964049836601733,-48:52:01.0,4.6,4.1
239,J1705-1906,0.2989874273426425,-19:06:38.6507,19.0,
240,J1705-3423,0.2554267757032457,-34:23:43.4,11.0,20.6
241,J1707-4053,0.58101670786,-40:53:56.1,52.0,87.4
242,J1707-4341,0.89059449625,-43:41:12.0,1.1463009744068453,12.0
243,J1708-3426,0.6921132465204503,-34:26:44.1428,8.1,11.0
244,J1709-1640,0.6530539712555028,-16:40:57.73,17.0,6.5
245,J1709-4429,0.10245924592944797,-44:29:08.24,23.0,23.0
246,J1711-5350,0.8992177993,-53:50:16,3.4,5.2
247,J1713+0747,0.004570136527581793,+07:47:37.4784,22.676823624135416,0.11
248,J1715-4034,2.072154597564798,-40:34:21,4.7,15.9
